user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the estimated expenditure per person for producing a scholar per year?,"['Average of 194,613 baht/person/year.']","The estimated expenditure per person for producing a scholar per year is an average of 194,613 baht/person/year.","194,613 baht/person/year.",1,1,1,1
Can credits be transferred from other institutions?,"['Yes, with consent of the executive program committee.']","Credits can be transferred, upon the consent of the executive program committee, according to the information provided.","Yes, with consent of the committee.",0.333333333,0,1,1
What is the GPA requirement for guaranteed admission to the integrated Master program?,['Overall GPA of at least 3.00.'],The GPA requirement for guaranteed admission to the integrated Master program is at least 3.00.,At least 3.00.,1,1,1,1
What is the focus of the first-year projects?,['Hands-on experience and basic development of robotics technologies.'],"The focus of the first-year projects is to give students hands-on experience, introduction, and basic development of robotics technologies.",Hands-on experience and basic robotics development.,0.666666667,0.807487731,1,1
What do students learn in the third year regarding trending areas?,"['Machine perception, cognition and reasoning, and IoT.']","In the third year, students learn about the latest technologies and AI in the area. In each semester, they study new concepts and apply creativity in completing projects in trending areas.","Machine perception, cognition, reasoning, and IoT.",0,0.731589108,1,1
What is the credit weight for General Education?,['30 credits.'],The credit weight for General Education is 30 credits.,30 credits.,0,1,1,1
How many credits are assigned to the RAI Engineering Capstone Design?,['3 credits.'],The RAI Engineering Capstone Design is assigned 3 credits.,3 credits.,0,0.994390203,1,1
What does the first and second digit of the subject code '01' mean?,['Faculty of Engineering.'],The first and second digit of the subject code '01' means Faculty of Engineering.,Faculty of Engineering.,0,0.973347867,0,1
What does the third and fourth digit '41' mean in the subject code?,['Robotics and AI program.'],The third and fourth digit '41' in the subject code means the Robotics and AI program.,Robotics and AI program.,0,0.976623547,1,1
What is the course code for 'Professional Ethics'?,['01006502.'],The course code for 'Professional Ethics' is 01006503.,1006502,0,1,1,1
How many credits is the 'Academic Listening and Speaking' course?,['3 (3-0-6) credits.'],The 'Academic Listening and Speaking' course is 3 credits.,3 (3-0-6) credits.,0,0.942909486,1,1
What is the prerequisite for 'Advanced Calculus'?,['01006710 Introduction to Calculus.'],The prerequisite for 'Advanced Calculus' is '01006710 Introduction to Calculus'.,01006710 Introduction to Calculus.,0,1,1,1
What topics are covered in 'General Physics 1'?,"[""Motion, space/time, kinematics, Newton's laws, energy, and momentum.""]","The course 'General Physics 1' covers basic physics and mechanics, including a study of motion, space and time, kinematics, Newton’s law of motion, forces, energy and momentum, work, power, conservation laws, systems of particles, linear momentum, circular motion, rotation, torques, harmonic oscillation, and gravitation.","Motion, kinematics, Newton's laws, energy, and momentum.",0.411764706,0.970805947,1,1
What is the credit structure (L-E-S) for 'Computer Programming for RAI'?,['3 (2-2-5).'],The credit structure (L-E-S) for 'Computer Programming for RAI' is 3 (2-2-5).,3 (2-2-5).,0.5,0.92324164,1,1
Which course covers 'Kinematics and Dynamics'?,['01416308.'],"The course titled ""KINEMATICS AND DYNAMICS"" covers 'Kinematics and Dynamics'.",1416308,0,0.904054201,0,1
What is the minimum duration for the internship requirement?,['At least 8 weeks.'],The minimum duration for the internship requirement is at least 8 weeks.,At least 8 weeks.,1,1,1,1
What alternative study option allows a 16-week internship?,['Co-Operative Education.'],The alternative study option that allows a 16-week internship is the Co-Operative Education program.,Co-Operative Education.,0,0.995581722,1,1
What is the objective of the 'RAI Engineering Capstone Design Preparation'?,['Instruct and prepare students in effective technical oral presentations.'],"The objective of the 'RAI Engineering Capstone Design Preparation' course is to instruct and prepare students in aspects of effective technical oral presentations through exposure to different workplace communication skills. As preparation and research for the capstone design, students must develop topics, identify a supervisor, and prepare a proposal.",Prepare students in effective technical oral presentations.,0.2,0.918501946,1,1
Which course introduces 'Artificial Intelligence Technology'?,['01416305.'],"The course that introduces 'Artificial Intelligence Technology' is ""ARTIFICIAL INTELLIGENCE TECHNOLOGY"" with the course code 01416305.",1416305,0.5,0.970988243,1,1
What is the focus of 'Robotics Laboratory 2'?,['Understanding the mobile robot through instructive experiments.'],"The focus of 'Robotics Laboratory 2' is understanding the mobile robot by performing instructive experiments that reveal fundamental robotic principles and attaining a level of dexterity with experimental devices. Additionally, the course aims to train the ability to report and summarize the experimental work.",Understanding mobile robots through experiments.,0.5,1,1,1
What does 'L' stand for in the credit notation (L-E-S)?,['Lecture or Learning hours.'],'L' stands for Lecture / Learning hours in the credit notation (L-E-S).,Lecture or Learning hours.,0,0.949468797,1,1
What does 'E' stand for in the credit notation (L-E-S)?,['Laboratory hours.'],'E' stands for Laboratory hours in the credit notation (L-E-S).,Laboratory hours.,0,1,1,1
What does 'S' stand for in the credit notation (L-E-S)?,['Self-study hours.'],'S' stands for Self-study hours in the credit notation (L-E-S).,Self-study hours.,0.5,1,1,1
What is the required student attendance percentage for evaluation?,['At least 80%.'],The required student attendance percentage for evaluation is at least 80% according to the Regulation of King Mongkut’s Institute of Technology Ladkrabang.,At least 80%.,0.5,0.811981199,1,1
How often is the curriculum updated?,['Updated at least every 5 years.'],The curriculum is updated at least every 5 years.,Updated at least every 5 years.,1,1,1,1
