Model,user_input,retrieved_contexts,response,reference,answer_similarity,answer_correctness,,,,,
ChatGPT,What is the mission of the Institute mentioned in the document?,['Master of Innovation and the Corner Stone of Fundamental.'],To produce skilled graduates with innovation and research capabilities,Master of Innovation and the Corner Stone of Fundamental.,0.435022273,0.108755568,,,,,
ChatGPT,What are the 21st-century skills the curriculum aims to cultivate?,"['Creativity, critical-thinking, communication, and collaboration.']","Critical thinking, creativity, communication, and collaboration","Creativity, critical-thinking, communication, and collaboration.",0.956303062,0.989075765,,,,,
ChatGPT,What is the 'next S-curve' industry mentioned in the importance of the program?,"['Digital industry including IoT, Cloud, Robotics, and AI.']",Robotics and Artificial Intelligence industry,"Digital industry (IoT, Cloud, Robotics, AI).",0.748537738,0.187134434,,,,,
ChatGPT,What does 'PEO' stand for in the context of the program?,['Program Educational Objectives.'],Program Educational Objectives,Program Educational Objectives.,0.976271209,0.994067802,,,,,
ChatGPT,What is Program Educational Objective (a)?,['Engineering Quality: apply engineering practice to solve significant problems.'],To produce graduates with strong technical knowledge and skills,Apply engineering practice to solve significant problems.,0.440669801,0.11016745,,,,,
ChatGPT,What is Program Educational Objective (e)?,['Lifelong Learning: learn new technologies to respond to a changing environment.'],To promote lifelong learning and professional development,Learn new technologies to respond to a changing environment.,0.363994804,0.090998701,,,,,
ChatGPT,How many weeks are in a standard academic semester?,['Not less than 15 weeks (excluding examination weeks).'],15-16 weeks,Not less than 15 weeks.,0.818623093,0.954655773,,,,,
ChatGPT,When is the summer course typically held?,['June - July.'],During April to June,June - July.,0.747293983,0.486823496,,,,,
ChatGPT,What is the minimum high-school requirement for applicants?,['Complete high-school education or equivalent.'],High school diploma with a science-math background,Complete high-school education or equivalent.,0.622719301,0.455679825,,,,,
ChatGPT,What English proficiency tests are accepted for non-native speakers?,['TOEFL or IELTS.'],"TOEFL, IELTS, or equivalent tests",TOEFL or IELTS.,0.840762715,0.810190679,,,,,
ChatGPT,What is a common issue for new students mentioned in the doc?,['Adjusting to social settings and campus lifestyles with greater freedom.'],Difficulty adjusting to English-based instruction,Adjusting to social settings and campus lifestyles.,0.276520198,0.06913005,,,,,
ChatGPT,How many 1st year students were planned for the 2020 academic year?,['60 students.'],Approximately 40-60 students,60 students.,0.838225103,0.209556276,,,,,
ChatGPT,What is the estimated expenditure per person for producing a scholar per year?,"['Average of 194,613 baht/person/year.']","Approximately 100,000-200,000 THB per year","194,613 baht/person/year.",0.39571916,0.59892979,,,,,
ChatGPT,Can credits be transferred from other institutions?,"['Yes, with consent of the executive program committee.']","Yes, subject to university approval","Yes, with consent of the committee.",0.546640622,0.511660155,,,,,
ChatGPT,What is the GPA requirement for guaranteed admission to the integrated Master program?,['Overall GPA of at least 3.00.'],At least 3.25 GPA,At least 3.00.,0.548821194,0.137205298,,,,,
ChatGPT,What is the focus of the first-year projects?,['Hands-on experience and basic development of robotics technologies.'],Basic engineering design and problem-solving skills,Hands-on experience and basic robotics development.,0.484271279,0.42106782,,,,,
ChatGPT,What do students learn in the third year regarding trending areas?,"['Machine perception, cognition and reasoning, and IoT.']","AI, robotics, IoT, and automation technologies","Machine perception, cognition, reasoning, and IoT.",0.674163021,0.356040755,,,,,
ChatGPT,What is the credit weight for General Education?,['30 credits.'],Approximately 30 credits,30 credits.,0.862695713,0.965673928,,,,,
ChatGPT,How many credits are assigned to the RAI Engineering Capstone Design?,['3 credits.'],6 credits,3 credits.,0.823259622,0.205814906,,,,,
ChatGPT,What does the first and second digit of the subject code '01' mean?,['Faculty of Engineering.'],Faculty or department identifier,Faculty of Engineering.,0.49316997,0.123292493,,,,,
ChatGPT,What does the third and fourth digit '41' mean in the subject code?,['Robotics and AI program.'],Course group or level,Robotics and AI program.,0.245769773,0.061442443,,,,,
ChatGPT,What is the course code for 'Professional Ethics'?,['01006502.'],01XXXX or similar code,1006502,0.59074164,0.52268541,,,,,
ChatGPT,How many credits is the 'Academic Listening and Speaking' course?,['3 (3-0-6) credits.'],3 credits,3 (3-0-6) credits.,0.753526737,0.688381684,,,,,
ChatGPT,What is the prerequisite for 'Advanced Calculus'?,['01006710 Introduction to Calculus.'],Calculus I and II,01006710 Introduction to Calculus.,0.530051015,0.132512754,,,,,
ChatGPT,What topics are covered in 'General Physics 1'?,"[""Motion, space/time, kinematics, Newton's laws, energy, and momentum.""]","Mechanics, motion, forces, and energy","Motion, kinematics, Newton's laws, energy, and momentum.",0.836503778,0.542459278,,,,,
ChatGPT,What is the credit structure (L-E-S) for 'Computer Programming for RAI'?,['3 (2-2-5).'],2/2/2001,3 (2-2-5).,0.719712053,0.179928013,,,,,
ChatGPT,Which course covers 'Kinematics and Dynamics'?,['01416308.'],Engineering Mechanics,1416308,0.063558651,0.015889663,,,,,
ChatGPT,What is the minimum duration for the internship requirement?,['At least 8 weeks.'],8 weeks,At least 8 weeks.,0.813419977,0.953354994,,,,,
ChatGPT,What alternative study option allows a 16-week internship?,['Co-Operative Education.'],Cooperative education program,Co-Operative Education.,0.583509447,0.895877362,,,,,
ChatGPT,What is the objective of the 'RAI Engineering Capstone Design Preparation'?,['Instruct and prepare students in effective technical oral presentations.'],To prepare students for capstone project planning and proposal development,Prepare students in effective technical oral presentations.,0.438377258,0.409594314,,,,,
ChatGPT,Which course introduces 'Artificial Intelligence Technology'?,['01416305.'],Introduction to Artificial Intelligence,1416305,0.109602734,0.027400683,,,,,
ChatGPT,What is the focus of 'Robotics Laboratory 2'?,['Understanding the mobile robot through instructive experiments.'],Advanced robotics systems and applications,Understanding mobile robots through experiments.,0.371707959,0.09292699,,,,,
ChatGPT,What does 'L' stand for in the credit notation (L-E-S)?,['Lecture or Learning hours.'],Lecture,Lecture or Learning hours.,0.652716175,0.163179044,,,,,
ChatGPT,What does 'E' stand for in the credit notation (L-E-S)?,['Laboratory hours.'],Experiment or Laboratory,Laboratory hours.,0.550218288,0.137554572,,,,,
ChatGPT,What does 'S' stand for in the credit notation (L-E-S)?,['Self-study hours.'],Self-study,Self-study hours.,0.679566715,0.669891679,,,,,
ChatGPT,What is the required student attendance percentage for evaluation?,['At least 80%.'],At least 80% attendance,At least 80%.,0.57396588,0.89349147,,,,,
ChatGPT,How often is the curriculum updated?,['Updated at least every 5 years.'],Every 3-5 years,Updated at least every 5 years.,0.602865985,0.150716496,,,,,
RAG Model,What is the English name of the program?,['Bachelor of Engineering Program in Robotics and AI Engineering (International Program).'],Bachelor of Engineering Program in Robotics and AI Engineering (International Program).,Bachelor of Engineering Program in Robotics and AI Engineering (International Program).,1,1,,,,,
RAG Model,What is the abbreviation for the degree in English?,['B.Eng. (Robotics and AI Engineering).'],B.Eng. (Robotics and AI Engineering),B.Eng. (Robotics and AI Engineering).,0.990610916,0.997652729,,,,,
RAG Model,How many credits are required for graduation?,['At least 131 credits.'],At least 131 credits are required for graduation.,At least 131 credits.,0.734105062,0.933526266,,,,,
RAG Model,What is the medium of instruction?,['English.'],The medium of instruction is English.,English.,0.538906085,0.884726521,,,,,
RAG Model,Which institute gives the degree to graduates?,"[""King Mongkut's Institute of Technology Ladkrabang.""]",The degree is given to graduates by King Mongkut’s Institute of Technology Ladkrabang.,King Mongkut's Institute of Technology Ladkrabang.,0.819947417,0.954986854,,,,,
RAG Model,When did the program start its first semester?,['Semester 1 of academic year 2018 (August 2018).'],"The program started its first semester in the academic year 2018, specifically in August 2018.",Semester 1 of academic year 2018.,0.736402266,0.684100567,,,,,
RAG Model,Is the program an academic or advanced academic bachelor's degree?,"[""Academic bachelor's degree program.""]",The program is an academic bachelor's degree program.,Academic bachelor's degree program.,0.863392532,0.965848133,,,,,
RAG Model,What is a possible career path regarding AI?,['Software Architect for AI or Expert Systems Analyst.'],"Possible career paths regarding AI include:

- Roboticist or Robotic Engineer
- Startup Entrepreneur in High Tech
- Software Engineer for Mechatronics and Machines
- System Engineer
- Machine Vision Engineer
- Robotic Security Analyst
- Expert Systems Analyst
- Machine Designer
- Software Architect for AI
- Technology Manager for Robotics and AI
- Solution Engineer",Software Architect for AI.,0.602834786,0.275708696,,,,,
RAG Model,What is a possible career path regarding mechanical systems?,['Software Engineer for Mechatronics and Machines or Machine Designer.'],Software Engineer for Mechatronics and Machines.,"Roboticist or Robotic Engineer, Startup Entrepreneur in High Tech, Software Engineer for Mechatronics and Machines, System Engineer, Machine Vision Engineer, Robotic Security Analyst, Expert Systems Analyst, Machine Designer, Software Architect for AI, Technology Manager for Robotics and AI, Solution Engineer",0.630208573,0.282552143,,,,,
RAG Model,What is a possible career path regarding management?,['Technology Manager for Robotics and AI.'],"A possible career path regarding management is ""Technology Manager for Robotics and AI.""",Technology Manager for Robotics and AI.,0.844461504,0.961115376,,,,,
RAG Model,Who is an instructor responsible for the program with a focus on Electrical Engineering?,['Dr. Poom Konghuayrob or Dr. Kanoknuch Songsuwankit.'],Dr. Poom Konghuayrob is an instructor responsible for the program with a focus on Electrical Engineering.,Dr. Poom Konghuayrob.,0.723574381,0.930893595,,,,,
RAG Model,Where is the location of study?,"[""King Mongkut's Institute of Technology Ladkrabang.""]",King Mongkut’s Institute of Technology Ladkrabang.,King Mongkut's Institute of Technology Ladkrabang.,0.997505157,0.999376289,,,,,
RAG Model,What national plan does the program align with?,['National Economic and Social Development Plan (2017-2021).'],National Economic and Social Development Plan (2017-2021).,National Economic and Social Development Plan (2017-2021).,1,1,,,,,
RAG Model,What is the mission of the Institute mentioned in the document?,['Master of Innovation and the Corner Stone of Fundamental.'],"The mission of the Institute mentioned in the document is to be the ""Master of Innovation and the Corner Stone of Fundamental,"" in the aspects of education, research, academic service, and preservation of art and culture.",Master of Innovation and the Corner Stone of Fundamental.,0.771779099,0.442944775,,,,,
RAG Model,What are the 21st-century skills the curriculum aims to cultivate?,"['Creativity, critical-thinking, communication, and collaboration.']","The curriculum aims to cultivate critical-thinking, communication, and collaboration skills.","Creativity, critical-thinking, communication, and collaboration.",0.661231067,0.80816491,,,,,
RAG Model,What is the 'next S-curve' industry mentioned in the importance of the program?,"['Digital industry including IoT, Cloud, Robotics, and AI.']","The 'next S-curve' industry mentioned in the importance of the program includes the digital industry fields such as IoT, Cloud, Embedded device, Robotics, and AI.","Digital industry (IoT, Cloud, Robotics, AI).",0.648271694,0.912067924,,,,,
RAG Model,What does 'PEO' stand for in the context of the program?,['Program Educational Objectives.'],Program Educational Objectives.,Program Educational Objectives.,1,1,,,,,
RAG Model,What is Program Educational Objective (a)?,['Engineering Quality: apply engineering practice to solve significant problems.'],"Program Educational Objective (a) is ""Engineering Quality: Our graduates will apply engineering practice, combined with the innovative process, to identify and solve significant problems across a broad range of applications.""",Apply engineering practice to solve significant problems.,0.464708262,0.491177065,,,,,
RAG Model,What is Program Educational Objective (e)?,[''],"Program Educational Objective (e) is ""Lifelong Learning: Our graduates will continuously learn new technologies to respond to a changing environment.""",Learn new technologies to respond to a changing environment.,0.425519099,0.706379775,,,,,
RAG Model,How many weeks are in a standard academic semester?,['Not less than 15 weeks (excluding examination weeks).'],A standard academic semester covers not less than 15 weeks (excluding the examination weeks).,Not less than 15 weeks.,0.451945493,0.612986373,,,,,
RAG Model,When is the summer course typically held?,['June - July.'],The summer course is typically held from June to July.,June - July.,0.602657728,0.900664432,,,,,
RAG Model,What is the minimum high-school requirement for applicants?,['Complete high-school education or equivalent.'],Applicants must complete high-school education or equivalent study record. They must also provide the latest official transcript for their highest level of education and proof of completion (an official diploma or a certificate of completion) from their high-school education or equivalent study before their enrollment.,Complete high-school education or equivalent.,0.539360501,0.563411554,,,,,
RAG Model,What English proficiency tests are accepted for non-native speakers?,['TOEFL or IELTS.'],The accepted English proficiency tests for non-native speakers are the Test of English as a Foreign Language (TOEFL) and the International English Language Testing System (IELTS).,TOEFL or IELTS.,0.696894278,0.92422357,,,,,
RAG Model,What is a common issue for new students mentioned in the doc?,['Adjusting to social settings and campus lifestyles with greater freedom.'],"A common issue for new students mentioned in the document is diverse ethnicity as backgrounds vary from student to student regarding culture, social, and academic upbringing, all of which influences social bonding and communication effectiveness, learning, and self-development.",Adjusting to social settings and campus lifestyles.,0.380329032,0.095082258,,,,,
RAG Model,How many 1st year students were planned for the 2020 academic year?,['60 students.'],60 first-year students were planned for the 2020 academic year.,60 students.,0.642340719,0.91058518,,,,,
RAG Model,What is the estimated expenditure per person for producing a scholar per year?,"['Average of 194,613 baht/person/year.']","The estimated expenditure per person for producing a scholar per year is an average of 194,613 baht/person/year.","194,613 baht/person/year.",0.409622886,0.852405722,,,,,
RAG Model,Can credits be transferred from other institutions?,"['Yes, with consent of the executive program committee.']","Credits can be transferred, upon the consent of the executive program committee, according to the information provided.","Yes, with consent of the committee.",0.413954926,0.703488732,,,,,
RAG Model,What is the GPA requirement for guaranteed admission to the integrated Master program?,['Overall GPA of at least 3.00.'],The GPA requirement for guaranteed admission to the integrated Master program is at least 3.00.,At least 3.00.,0.399963104,0.849990776,,,,,
RAG Model,What is the focus of the first-year projects?,['Hands-on experience and basic development of robotics technologies.'],"The focus of the first-year projects is to give students hands-on experience, introduction, and basic development of robotics technologies.",Hands-on experience and basic robotics development.,0.73253075,0.783132687,,,,,
RAG Model,What do students learn in the third year regarding trending areas?,"['Machine perception, cognition and reasoning, and IoT.']","In the third year, students learn about the latest technologies and AI in the area. In each semester, they study new concepts and apply creativity in completing projects in trending areas.","Machine perception, cognition, reasoning, and IoT.",0.240405253,0.060101313,,,,,
RAG Model,What is the credit weight for General Education?,['30 credits.'],The credit weight for General Education is 30 credits.,30 credits.,0.55818656,0.88954664,,,,,
RAG Model,How many credits are assigned to the RAI Engineering Capstone Design?,['3 credits.'],The RAI Engineering Capstone Design is assigned 3 credits.,3 credits.,0.46005694,0.865014235,,,,,
RAG Model,What does the first and second digit of the subject code '01' mean?,['Faculty of Engineering.'],The first and second digit of the subject code '01' means Faculty of Engineering.,Faculty of Engineering.,0.436316166,0.609079041,,,,,
RAG Model,What does the third and fourth digit '41' mean in the subject code?,['Robotics and AI program.'],The third and fourth digit '41' in the subject code means the Robotics and AI program.,Robotics and AI program.,0.561634672,0.890408668,,,,,
RAG Model,What is the course code for 'Professional Ethics'?,['01006502.'],The course code for 'Professional Ethics' is 01006503.,1006502,0.384640339,0.096160085,,,,,
RAG Model,How many credits is the 'Academic Listening and Speaking' course?,['3 (3-0-6) credits.'],The 'Academic Listening and Speaking' course is 3 credits.,3 (3-0-6) credits.,0.395229912,0.598807478,,,,,
RAG Model,What is the prerequisite for 'Advanced Calculus'?,['01006710 Introduction to Calculus.'],The prerequisite for 'Advanced Calculus' is '01006710 Introduction to Calculus'.,01006710 Introduction to Calculus.,0.588849491,0.897212373,,,,,
RAG Model,What topics are covered in 'General Physics 1'?,"[""Motion, space/time, kinematics, Newton's laws, energy, and momentum.""]","The course 'General Physics 1' covers basic physics and mechanics, including a study of motion, space and time, kinematics, Newton’s law of motion, forces, energy and momentum, work, power, conservation laws, systems of particles, linear momentum, circular motion, rotation, torques, harmonic oscillation, and gravitation.","Motion, kinematics, Newton's laws, energy, and momentum.",0.675367673,0.494928875,,,,,
RAG Model,What is the credit structure (L-E-S) for 'Computer Programming for RAI'?,['3 (2-2-5).'],The credit structure (L-E-S) for 'Computer Programming for RAI' is 3 (2-2-5).,3 (2-2-5).,0.293240472,0.373310118,,,,,
RAG Model,Which course covers 'Kinematics and Dynamics'?,['01416308.'],"The course titled ""KINEMATICS AND DYNAMICS"" covers 'Kinematics and Dynamics'.",1416308,0.08117691,0.395294227,,,,,
RAG Model,What is the minimum duration for the internship requirement?,['At least 8 weeks.'],The minimum duration for the internship requirement is at least 8 weeks.,At least 8 weeks.,0.3975225,0.849380625,,,,,
RAG Model,What alternative study option allows a 16-week internship?,['Co-Operative Education.'],The alternative study option that allows a 16-week internship is the Co-Operative Education program.,Co-Operative Education.,0.611019604,0.902754901,,,,,
RAG Model,What is the objective of the 'RAI Engineering Capstone Design Preparation'?,['Instruct and prepare students in effective technical oral presentations.'],"The objective of the 'RAI Engineering Capstone Design Preparation' course is to instruct and prepare students in aspects of effective technical oral presentations through exposure to different workplace communication skills. As preparation and research for the capstone design, students must develop topics, identify a supervisor, and prepare a proposal.",Prepare students in effective technical oral presentations.,0.513290517,0.378322629,,,,,
RAG Model,Which course introduces 'Artificial Intelligence Technology'?,['01416305.'],"The course that introduces 'Artificial Intelligence Technology' is ""ARTIFICIAL INTELLIGENCE TECHNOLOGY"" with the course code 01416305.",1416305,0.251985663,0.562996416,,,,,
RAG Model,What is the focus of 'Robotics Laboratory 2'?,['Understanding the mobile robot through instructive experiments.'],"The focus of 'Robotics Laboratory 2' is understanding the mobile robot by performing instructive experiments that reveal fundamental robotic principles and attaining a level of dexterity with experimental devices. Additionally, the course aims to train the ability to report and summarize the experimental work.",Understanding mobile robots through experiments.,0.707349125,0.60540871,,,,,
RAG Model,What does 'L' stand for in the credit notation (L-E-S)?,['Lecture or Learning hours.'],'L' stands for Lecture / Learning hours in the credit notation (L-E-S).,Lecture or Learning hours.,0.482771482,0.870692871,,,,,
RAG Model,What does 'E' stand for in the credit notation (L-E-S)?,['Laboratory hours.'],'E' stands for Laboratory hours in the credit notation (L-E-S).,Laboratory hours.,0.572879414,0.893219853,,,,,
RAG Model,What does 'S' stand for in the credit notation (L-E-S)?,['Self-study hours.'],'S' stands for Self-study hours in the credit notation (L-E-S).,Self-study hours.,0.523977903,0.630994476,,,,,
RAG Model,What is the required student attendance percentage for evaluation?,['At least 80%.'],The required student attendance percentage for evaluation is at least 80% according to the Regulation of King Mongkut’s Institute of Technology Ladkrabang.,At least 80%.,0.352668154,0.588167039,,,,,
RAG Model,How often is the curriculum updated?,['Updated at least every 5 years.'],The curriculum is updated at least every 5 years.,Updated at least every 5 years.,0.627158359,0.90678959,,,,,
