user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What English proficiency tests are accepted for non-native speakers?,['TOEFL or IELTS.'],"TOEFL, IELTS, or equivalent tests",TOEFL or IELTS.,0.0,0.0,0.9999999999,1.0
What is a common issue for new students mentioned in the doc?,['Adjusting to social settings and campus lifestyles with greater freedom.'],Difficulty adjusting to English-based instruction,Adjusting to social settings and campus lifestyles.,0.0,0.4155860086366713,0.9999999999,1.0
How many 1st year students were planned for the 2020 academic year?,['60 students.'],Approximately 40-60 students,60 students.,0.0,0.0,0.9999999999,1.0
What is the estimated expenditure per person for producing a scholar per year?,"['Average of 194,613 baht/person/year.']","Approximately 100,000-200,000 THB per year","194,613 baht/person/year.",1.0,0.579994759351222,0.9999999999,1.0
Can credits be transferred from other institutions?,"['Yes, with consent of the executive program committee.']","Yes, subject to university approval","Yes, with consent of the committee.",0.0,0.0,0.9999999999,1.0
What is the GPA requirement for guaranteed admission to the integrated Master program?,['Overall GPA of at least 3.00.'],At least 3.25 GPA,At least 3.00.,0.0,0.7468393693297928,0.9999999999,1.0
What is the focus of the first-year projects?,['Hands-on experience and basic development of robotics technologies.'],Basic engineering design and problem-solving skills,Hands-on experience and basic robotics development.,0.0,0.27942041842329707,0.9999999999,1.0
What do students learn in the third year regarding trending areas?,"['Machine perception, cognition and reasoning, and IoT.']","AI, robotics, IoT, and automation technologies","Machine perception, cognition, reasoning, and IoT.",0.25,0.43331219755095624,0.9999999999,1.0
What is the credit weight for General Education?,['30 credits.'],Approximately 30 credits,30 credits.,0.0,0.6518069776985871,0.9999999999,1.0
How many credits are assigned to the RAI Engineering Capstone Design?,['3 credits.'],6 credits,3 credits.,0.0,0.5212860291321217,0.9999999999,1.0
What does the first and second digit of the subject code '01' mean?,['Faculty of Engineering.'],Faculty or department identifier,Faculty of Engineering.,0.0,0.2952965055302868,0.9999999999,1.0
What does the third and fourth digit '41' mean in the subject code?,['Robotics and AI program.'],Course group or level,Robotics and AI program.,0.0,0.0,0.0,1.0
What is the course code for 'Professional Ethics'?,['01006502.'],01XXXX or similar code,01006502.,0.0,0.0,0.9999999999,1.0
How many credits is the 'Academic Listening and Speaking' course?,['3 (3-0-6) credits.'],3 credits,3 (3-0-6) credits.,0.0,0.7615603670887223,0.9999999999,1.0
What is the prerequisite for 'Advanced Calculus'?,['01006710 Introduction to Calculus.'],Calculus I and II,01006710 Introduction to Calculus.,0.0,0.7155229272285284,0.9999999999,1.0
What topics are covered in 'General Physics 1'?,"[""Motion, space/time, kinematics, Newton's laws, energy, and momentum.""]","Mechanics, motion, forces, and energy","Motion, kinematics, Newton's laws, energy, and momentum.",0.5,0.8420288795258434,0.9999999999,1.0
What is the credit structure (L-E-S) for 'Computer Programming for RAI'?,['3 (2-2-5).'],2-2-1,3 (2-2-5).,0.0,0.0,0.9999999999,1.0
Which course covers 'Kinematics and Dynamics'?,['01416308.'],Engineering Mechanics,01416308.,0.0,0.4793001861324694,0.0,1.0
What is the minimum duration for the internship requirement?,['At least 8 weeks.'],8 weeks,At least 8 weeks.,1.0,0.3937185945816811,0.9999999999,1.0
What alternative study option allows a 16-week internship?,['Co-Operative Education.'],Cooperative education program,Co-Operative Education.,0.0,0.2621426899683618,0.9999999999,1.0
What is the objective of the 'RAI Engineering Capstone Design Preparation'?,['Instruct and prepare students in effective technical oral presentations.'],To prepare students for capstone project planning and proposal development,Prepare students in effective technical oral presentations.,0.0,0.6247604933815117,0.9999999999,1.0
Which course introduces 'Artificial Intelligence Technology'?,['01416305.'],Introduction to Artificial Intelligence,01416305.,0.0,0.8518263463056377,0.9999999999,1.0
What is the focus of 'Robotics Laboratory 2'?,['Understanding the mobile robot through instructive experiments.'],Advanced robotics systems and applications,Understanding mobile robots through experiments.,0.0,0.5297240981282307,0.9999999999,1.0
What does 'L' stand for in the credit notation (L-E-S)?,['Lecture or Learning hours.'],Lecture,Lecture or Learning hours.,0.0,0.1383882974267494,0.9999999999,1.0
What does 'E' stand for in the credit notation (L-E-S)?,['Laboratory hours.'],Experiment or Laboratory,Laboratory hours.,0.0,0.0,0.9999999999,1.0
What does 'S' stand for in the credit notation (L-E-S)?,['Self-study hours.'],Self-study,Self-study hours.,0.0,-0.015993022840685794,0.9999999999,1.0
What is the required student attendance percentage for evaluation?,['At least 80%.'],At least 80% attendance,At least 80%.,1.0,0.6588868004766176,0.9999999999,1.0
How often is the curriculum updated?,['Updated at least every 5 years.'],Every 3-5 years,Updated at least every 5 years.,0.0,0.0,0.9999999999,1.0
